skills,is_hot_technology,id
landtec system software lfg pro,False,447
worktech maximo,True,448
ariba spend management suite,False,449
automated purchase order software,False,450
bottomline technologies bottomline sprinter purchasing manager,False,451
bowen & groves m1 erp,True,452
corel paradox,False,453
epicor vantage erp,True,454
infor lawson supply chain management,False,455
materials requirement planning mrp software,False,456
oracle peoplesoft enterprise financial management solutions,False,457
oracle primavera p6 enterprise portfolio project management,False,458
purchasing software,False,459
purchasingnet eprocurement,False,460
abol manifest systems,False,461
airline global distribution systems gds software,False,462
alk technologies fleetsuite,False,463
alk technologies pc*miler,False,464
amber road,False,465
argos software abecas insight freight management system fms (accounting feature),False,466
argos software abecas insight freight management system fms (calendar and scheduling feature),False,467
autodesk autocad civil 3d,True,468
automated expense reporting system software,False,469
bentley transportation data manager,False,470
cadre technologies cadence transportation management system,False,471
copilot truck,False,472
eaton fleet advisor,False,473
fleetware software,False,474
freight rail crew optimization scheduling frcos software,False,475
geometrix,False,476
graphics software,False,477
ibm i2 transportation manager,False,478
imsure solutions shipflex,False,479
infosite technologies dispatch-mate,False,480
integrated decision support corporation expert fuel,False,481
integrated decision support corporation netwise supply chain,False,482
integrated decision support corporation route advice,False,483
integrated decision support corporation swap advice,False,484
integrated decision support match advice,False,485
integrated decision support netwise enterprise,False,486
integrated decision support netwise frontline,False,487
intergraph geomedia transportation manager,False,488
iptor supply chain,False,489
labelmaster software reg-trieve,False,490
qualcomm qtracs,False,491
qualcomm viaweb,False,492
scanlon associates logpak,False,493
shipping solutions,False,494
spreadsheet software,False,495
summary systems fleet commander,False,496
supply chain event management software,False,497
tmw powersuite,True,498
workforce software empcenter time and attendance,False,499
aljex inventory,False,500
cadre technologies cadence warehouse management system,False,501
catalyst international catalystconnect,False,502
dsa foxware warehouse management,False,503
highjump software warehouse advantage,False,504
infosite technologies dm warehousing,False,505
intellitrack warehouse management system,False,506
logility voyager warehousepro,False,507
materials requirements planning logistics and supply chain software,False,508
mra technologies mratrack warehouse management system,False,509
radio beacon wms,False,510
redprairie dlx warehouse,False,511
sentai pinpoint,False,512
ssa global warehouse management system wms,False,513
tecsys eliteseries,False,514
tecsys pointforce enterprise,False,515
3pl central,False,516
cadre technologies accuplus integrated distribution logistics system,False,517
esri arclogistics,False,518
fedex ship manager,False,519
four soft 4s elog,False,520
four soft 4s visilog,False,521
intellitrack 3pl,False,522
logisuite enterprise,False,523
logisuite forwarder,False,524
materials resource planning mrp software,False,525
optimization software,False,526
oracle e-business suite logistics,False,527
presentation software,False,528
sap erp operations,True,529
transportation management system tms software,False,530
transtek compass erp,True,531
ups worldship,False,532
usps.com,False,533
warehouse management system wms,False,534
!trak-it solutions !trak-it hr,False,535
adp employease,False,536
adp hr/benefits solution,False,537
apex business software ihr,False,538
ascentis hr,False,539
asl hr director,False,540
asure software hcm,False,541
atlas business solutions staff files,False,542
auxillium west hrnetsource,False,543
blue chip computer consultants humanet,False,544
ceridian,False,545
consultants in data processing hrnet,False,546
datamatics v-core hr,False,547
deltek costpoint,False,548
denosys hristragegy,False,549
document management system software,False,550
e-mds bill,False,551
fsc business solutions department managers' toolkit,False,552
genesys peoplecomefirst,False,553
global groupware solutions limited smiles erm on-demand,False,554
harrisdata human resources information system hris,False,555
hr-ease,False,556
hrms solutions ivantage,False,557
hsenid business solutions hrm enterprise,False,558
humanic design human resources management system,False,559
iemployee,False,560
jenss & associates compkeeper,False,561
lawson human resource management,False,562
now solutions empath,False,563
nuview systems cort hcm,False,564
nuview systems nuviewhr,False,565
orangehrm,False,566
pds vista hrms,False,567
people-trak hr essentials,False,568
perfectsoftware perfecthr,False,569
piney creek digital protocol system,False,570
pstek,False,571
quadkey hr server,False,572
sage abra hrms,False,573
saigun technologies empxtrack,False,574
sentient online marketprice,False,575
trigon road forte leave management,False,576
ucn incontact workforce management software wfm,False,577
ultimate software ultipro,False,578
vantage point software hra,False,579
aasofttech web organization chart,False,580
accountantsworld payroll relief,False,581
adp enterprise hr,False,582
adp ezlabormanager,False,583
adp hr/profile,False,584
adp pay expert,False,585
allnetic working time tracker,False,586
applicant tracking software,False,587
arrow electronics n/compass,False,588
authoria adviser,False,589
automation centre personnel tracker,False,590
corel wordperfect,False,591
data management timeclock plus,False,592
defense travel system,False,593
deltek vision,True,594
fidelity hr/payroll,False,595
harpers payroll services hr la carte,False,596
inception technologies infinitime,False,597
infotronics attendance enterprise,False,598
interactive personnel electronic records management system iperms,False,599
isystems evolution payroll and tax management,False,600
jantek electronics jupiter time & attendance,False,601
kronos enterprise workforce management,True,602
lawson human resources suite,False,603
midrange software xperthire,False,604
new world systems logos.net,False,605
nuvosoft rwiz,False,606
oracle hris,False,607
paychex,False,608
paycor payroll management,False,609
paylocity web pay,False,610
pdf readers,False,611
people-trak software,False,612
peoplefluent performance,False,613
peoplefluent recruiting,False,614
pereless systems software,False,615
qqest timeforce,False,616
questionmark,False,617
savitr recruitx,False,618
soft trac microix timesheet,False,619
standard installation and division personnel reporting system sidpers,False,620
stratitec timeips,False,621
stromberg enterprise,False,622
taleo enterprise talent management suite,False,623
tesseract benefits manager,False,624
tesseract human resources manager,False,625
total officer personnel management information system topmis,False,626
training software,False,627
tyler technologies munis,True,628
ultimate software ultipro workplace,False,629
unicorn hro open4,False,630
unifocus watson human resources manager,False,631
whizlabs,False,632
winocular,False,633
adobe systems adobe captivate,False,634
adobe systems adobe presenter,False,635
agileview software smartview,False,636
alchemy systems sistem,False,637
articulate rapid e-learning studio,False,638
beeline learning management system lms,False,639
blatant media absorb lms,False,640
brainshark rapid learning,False,641
caliban mindwear hypergasp,False,642
cobent learning and compliance suite lcs,False,643
computer generated solutions learning management system,False,644
cornerstone ondemand cornerstone learning,False,645
dazzlersoft dazzlermax,False,646
dominknow learning center,False,647
eedo knowledgeware eedo force ten,False,648
elearningforce joomlalms,False,649
epic systems,True,650
exe,False,651
ez lcms,False,652
flextraining total e-learning solution,False,653
flying popcorn,False,654
freeze.com ovation studio pro,False,655
funeducation outstart trainer,False,656
g-cube solutions wizdom web lms,False,657
geometrix data systems training partner,False,658
hp trim,False,659
hunterstone thesis,False,660
ics learning group inquisiq ex,False,661
ikonami at-learning tool,False,662
ilinc communications learnlinc,False,663
inspired elearning ilms,False,664
intelladon enterprise knowledge platform ekp,False,665
intelligent information conversion technologies meritscholar,False,666
intellum rollbook,False,667
kookaburra studios knowledge presenter,False,668
leanforward learnpoint,False,669
learn hq activate lms,False,670
learn.com coursemaker studio,False,671
learn.com learncenter talent management suite,True,672
linspire nvu,False,673
magenta multimedia tools magenta ii,False,674
mediachance multimedia builder,False,675
